,Data de confirmação
2020-04-27,1
2020-05-01,1
2020-05-03,1
2020-05-05,1
2020-05-12,1
2020-05-15,4
2020-05-16,2
2020-05-22,5
2020-05-24,1
2020-05-25,2
2020-05-27,3
2020-05-29,7
2020-06-01,11
2020-06-02,1
2020-06-03,2
2020-06-04,4
2020-06-05,4
2020-06-06,4
2020-06-08,1
2020-06-09,2
2020-06-10,24
2020-06-12,33
2020-06-13,1
2020-06-15,1
2020-06-17,3
2020-06-20,1
2020-06-22,2
2020-06-23,1
2020-06-24,1
2020-07-01,4
2020-07-12,1
2020-07-14,33
2020-07-15,161
2020-07-16,1
2020-07-17,3
2020-07-20,1
2020-07-22,1
2020-07-23,16
2020-07-24,1
2020-07-26,24
2020-07-27,70
2020-07-28,8
2020-07-29,5
2020-07-30,1
2020-07-31,5
2020-08-01,27
2020-08-02,20
2020-08-04,4
2020-08-05,1
2020-08-06,3
2020-08-08,1
2020-08-11,8
2020-08-12,20
2020-08-13,2
2020-08-14,8
2020-08-15,25
2020-08-16,30
2020-08-17,1
2020-08-21,40
2020-08-23,115
2020-08-24,1
2020-08-25,10
2020-09-02,2
2020-09-03,1
2020-09-04,9
2020-09-09,8
2020-09-11,1
2020-09-15,9
2020-09-17,3
2020-09-21,8
2020-09-22,61
2020-09-26,16
2020-09-29,4
2020-09-30,1
2020-10-01,1
2020-10-02,6
2020-10-03,10
2020-10-06,3
2020-10-11,6
2020-10-12,3
2020-10-13,3
2020-10-15,2
2020-10-17,14
2020-10-23,1
2020-10-25,9
2020-11-01,2
2020-11-02,4
2020-11-03,2
2020-11-08,13
2020-11-16,4
2020-11-22,8
2020-11-28,16
2020-12-03,5
2020-12-05,4
2020-12-10,4
2020-12-12,6
2020-12-13,8
2020-12-15,1
2020-12-16,1
2020-12-22,3
2020-12-23,1
2020-12-26,23
2021-01-01,4
2021-01-02,5
2021-01-05,1
2021-01-07,2
2021-01-08,5
2021-01-09,21
2021-01-10,25
2021-01-14,12
2021-01-15,8
2021-01-16,9
2021-01-17,6
2021-01-22,4
2021-01-24,1
2021-01-28,1
2021-01-30,19
2021-01-31,32
2021-02-07,23
2021-02-08,4
2021-02-09,7
2021-02-15,55
2021-02-16,40
2021-02-19,1
2021-02-26,1
2021-02-27,35
2021-02-28,6
2021-03-03,3
2021-03-09,2
2021-03-10,1
2021-03-11,2
2021-03-13,18
2021-03-14,30
2021-03-15,2
2021-03-17,13
2021-03-18,21
2021-03-19,15
2021-03-20,17
2021-03-24,4
2021-03-26,28
2021-03-27,24
2021-03-28,1
2021-03-30,13
2021-04-02,43
2021-04-07,4
2021-04-08,6
2021-04-13,30
2021-04-15,24
2021-04-16,6
2021-04-17,44
2021-04-18,12
2021-04-21,11
2021-04-23,16
2021-04-28,10
2021-05-01,6
2021-05-02,2
2021-05-06,7
2021-05-07,5
2021-05-08,3
2021-05-09,16
2021-05-10,2
2021-05-11,1
2021-05-12,11
2021-05-16,1
2021-05-19,3
2021-05-22,6
2021-05-26,4
2021-05-30,12
2021-05-31,15
2021-06-02,26
2021-06-03,15
2021-06-04,9
2021-06-05,58
2021-06-06,26
2021-06-07,3
2021-06-08,2
2021-06-09,17
2021-06-11,2
2021-06-12,21
2021-06-13,23
2021-06-14,2
2021-06-18,1
2021-06-19,1
2021-06-20,21
2021-06-22,5
2021-06-24,2
2021-06-25,7
2021-06-26,1
2021-06-27,21
2021-06-28,6
2021-07-02,1
2021-07-03,7
2021-07-06,1
2021-07-08,23
2021-07-10,2
2021-07-12,1
2021-07-13,2
2021-07-17,2
2021-07-23,2
2021-07-26,1
2021-07-30,2
2021-08-03,1
2021-08-24,2
2021-08-25,3
2021-08-26,3
2021-08-31,1
2021-09-28,1
2021-12-14,1
2022-01-09,2
2022-01-22,1
2022-01-26,1
2022-01-31,7
2022-02-03,2
2022-02-08,2
2022-02-11,5
2022-02-12,19
2022-02-13,21
2022-02-15,86
2022-02-28,76
2022-03-15,8
2022-03-23,4
2022-04-05,3
2022-05-20,1
2022-05-29,1
2022-07-07,1
2022-07-08,4
2022-07-10,1
2022-07-11,3
2022-07-14,19
2022-07-16,2
2022-07-19,7
2022-07-20,1
2022-07-22,3
2022-07-25,2
2022-07-26,8
2022-07-27,1
2022-07-28,3
2022-07-30,11
2022-07-31,1
2022-08-02,10
2022-08-03,1
2022-08-09,2
2022-08-10,1
2022-08-12,2
2022-08-14,1
2022-08-15,12
2022-08-23,1
2022-08-24,1
2022-08-28,24
2022-08-30,2
2022-09-01,2
2022-09-04,7
2022-09-05,5
2022-09-06,10
2022-09-09,23
2022-10-11,1
2022-10-26,2
2022-11-01,9
2022-11-12,1
2022-11-22,1
2022-11-29,1
2022-12-07,5
2022-12-14,3
2022-12-16,5
2022-12-20,1
2022-12-22,3
2022-12-23,2
2022-12-25,11
